,building_id,district_id,vdcmun_id,ward_id,count_floors_pre_eq,count_floors_post_eq,age_building,plinth_area_sq_ft,height_ft_pre_eq,height_ft_post_eq,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,condition_post_eq,damage_grade,technical_solution_proposed,superstructure,floors_change,height_change
1639,120302000661,12,1208,120802,1,2,20,227,19,19,Steep slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
3136,120408000171,12,1207,120705,2,3,9,323,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,0
3146,120408000261,12,1207,120705,1,3,1,484,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_mud_mortar_stone,-2,0
4564,120606000301,12,1207,120710,2,5,13,415,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_mud_mortar_stone,-3,0
4992,120702000742,12,1202,120206,1,2,4,450,22,22,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,0
5314,120706000371,12,1202,120206,1,2,2,320,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
7350,121103000591,12,1208,120807,1,2,30,350,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
8882,121303000881,12,1201,120104,2,3,3,1333,16,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
9926,121404000661,12,1201,120106,2,3,25,264,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Major repair,has_superstructure_mud_mortar_stone,-1,0
13867,122002000421,12,1203,120304,1,2,35,192,8,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,-8
15297,122108001891,12,1208,120810,1,2,21,204,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
16756,122402000432,12,1203,120305,2,3,8,256,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
21341,123102001031,12,1208,120805,1,2,2,344,7,14,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_mud_mortar_stone,-1,-7
21441,123103000622,12,1208,120805,2,3,30,236,18,18,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
22358,123206000251,12,1204,120403,1,2,15,406,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
23895,123402000772,12,1201,120101,2,5,27,343,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
23975,123403000361,12,1201,120101,2,3,80,300,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
24167,123405000042,12,1201,120101,2,3,3,357,19,19,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,0
24784,123409000691,12,1201,120102,2,8,20,327,8,8,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_mud_mortar_stone,-6,0
24789,123409000741,12,1201,120102,2,3,3,400,15,15,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 4,Major repair,has_superstructure_mud_mortar_stone,-1,0
25286,123504000421,12,1203,120309,1,2,1,565,7,7,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 2,Major repair,has_superstructure_mud_mortar_stone,-1,0
26838,123705000071,12,1202,120202,1,2,13,258,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
28256,124003000531,12,1203,120301,2,5,15,195,15,15,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
29660,124204000211,12,1202,120204,1,2,75,432,12,13,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_mud_mortar_stone,-1,-1
31038,124408000251,12,1207,120704,1,2,9,650,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_adobe_mud,-1,0
31298,124502000051,12,1207,120708,1,2,9,192,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,0
31849,124604000241,12,1202,120205,1,2,25,260,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,0
33935,124905000231,12,1208,120803,1,2,21,208,10,10,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Major repair,has_superstructure_mud_mortar_stone,-1,0
34011,124905000941,12,1208,120803,1,2,3,382,15,15,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,L-shape,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
34164,124906001111,12,1208,120804,1,2,10,284,6,11,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,-5
35939,125205000011,12,1205,120506,1,2,4,678,7,11,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,-4
35958,125205000201,12,1205,120506,1,2,18,684,7,11,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,-4
37363,125404000941,12,1207,120702,1,4,0,280,7,7,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_bamboo,-3,0
37786,125409000011,12,1207,120702,1,2,27,476,10,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Repaired and used,Grade 4,Minor repair,has_superstructure_mud_mortar_stone,-1,-11
38690,125601000061,12,1204,120404,2,5,11,540,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-3,0
38709,125601000251,12,1204,120404,2,5,13,480,12,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-3,-1
38714,125601000301,12,1204,120404,2,5,17,520,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_mud_mortar_stone,-3,0
38889,125604000291,12,1204,120404,2,5,7,521,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_mud_mortar_stone,-3,0
39349,125609000511,12,1204,120405,2,5,30,458,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
39739,200108000011,20,2002,200201,1,2,6,234,6,10,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_timber,-1,-4
40003,200201001541,20,2001,200113,1,2,0,440,7,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,L-shape,Not damaged,Grade 1,No need,has_superstructure_timber,-1,-7
41051,200301000111,20,2009,200908,1,2,16,420,6,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,-7
41256,200303000611,20,2009,200908,1,2,3,495,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,RC,Timber-Planck,Attached-1 side,Square,Damaged-Not used,Grade 2,Minor repair,has_superstructure_cement_mortar_stone,-1,0
41696,200309000142,20,2009,200908,1,2,15,510,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,0
43477,200507000672,20,2003,200306,1,2,7,321,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
43497,200508000071,20,2003,200306,2,3,60,321,15,15,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
43556,200508000651,20,2003,200306,1,2,12,2333,10,10,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
43609,200509000221,20,2003,200306,2,5,15,479,19,19,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-3,0
44038,200607000361,20,2002,200202,2,5,9,416,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
44710,200703000521,20,2009,200901,1,2,3,375,13,13,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,0
46337,200901000671,20,2003,200307,1,2,7,656,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-9
46412,200902000491,20,2003,200307,1,2,3,1010,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Multi-projected,Damaged-Repaired and used,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-9
46506,200903000123,20,2003,200307,2,3,6,1264,18,27,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_non_engineered,-1,-9
46801,200907000451,20,2003,200307,2,5,17,382,17,17,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
46845,200908000221,20,2003,200307,2,5,13,406,17,17,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-3,0
46846,200908000231,20,2003,200307,2,5,44,329,17,17,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
46871,200909000061,20,2003,200307,2,5,6,378,17,17,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
52040,201504001051,20,2001,200109,1,2,5,430,8,14,Flat,Cement-Stone/Brick,Bamboo/Timber-Heavy roof,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-6
53230,201602000101,20,2004,200401,1,2,12,470,11,11,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
54137,201702000371,20,2001,200106,1,2,12,700,9,16,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,L-shape,Damaged-Repaired and used,Grade 1,No need,has_superstructure_bamboo,-1,-7
55555,201804001311,20,2001,200102,1,2,4,299,17,17,Flat,Cement-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-1,0
59143,202009002011,20,2009,200905,2,5,7,443,18,18,Steep slope,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
60426,202106000021,20,2008,200804,2,3,16,350,14,14,Steep slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
61259,202202000641,20,2001,200112,1,2,2,155,8,8,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Square,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_timber,-1,0
61364,202202001651,20,2001,200112,1,2,15,250,14,14,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_stone_flag,-1,0
61475,202203000841,20,2001,200112,1,2,35,220,16,16,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_stone_flag,-1,0
61889,202206001041,20,2001,200112,1,2,1,405,7,12,Moderate slope,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Minor repair,has_superstructure_timber,-1,-5
61894,202206001091,20,2001,200112,1,2,5,360,7,12,Moderate slope,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_timber,-1,-5
62770,202306000791,20,2001,200114,2,3,7,300,14,14,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_timber,-1,0
63323,202401000021,20,2006,200604,1,2,7,924,15,15,Flat,Cement-Stone/Brick,Bamboo/Timber-Heavy roof,RC,Timber-Planck,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-1,0
63710,202402000391,20,2006,200604,1,2,5,720,14,14,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_timber,-1,0
64957,202408002021,20,2006,200603,2,5,5,336,10,10,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_timber,-3,0
64993,202408002351,20,2006,200603,2,5,2,576,10,10,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,RC,Timber-Planck,Not attached,L-shape,Not damaged,Grade 1,No need,has_superstructure_timber,-3,0
65052,202409000321,20,2006,200603,1,2,2,300,11,11,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
65253,202501000971,20,2005,200504,1,8,15,190,8,8,Moderate slope,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_timber,-7,0
65294,202501001351,20,2005,200504,2,5,12,1224,14,14,Flat,Cement-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,L-shape,Damaged-Repaired and used,Grade 4,Major repair,has_superstructure_cement_mortar_brick,-3,0
66735,202504021121,20,2005,200505,1,4,10,375,10,10,Steep slope,Bamboo/Timber,Bamboo/Timber-Heavy roof,RC,Not applicable,Not attached,L-shape,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-3,0
66891,202504030631,20,2005,200505,1,2,30,817,12,12,Moderate slope,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,L-shape,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
67507,202504051551,20,2005,200505,1,2,5,508,12,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_engineered,-1,-12
67545,202504060192,20,2005,200505,1,2,20,500,17,17,Flat,RC,Bamboo/Timber-Light roof,Brick/Stone,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-1,0
67546,202504060201,20,2005,200505,1,3,6,950,10,30,Flat,RC,RCC/RB/RBC,Brick/Stone,RCC/RB/RBC,Not attached,Square,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-2,-20
67553,202504060271,20,2005,200505,1,2,10,1250,10,10,Flat,RC,RCC/RB/RBC,Brick/Stone,RCC/RB/RBC,Attached-3 side,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-1,0
69158,202506030611,20,2005,200506,3,4,7,2040,33,43,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,-10
69178,202506030751,20,2005,200506,1,2,25,490,16,16,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,RC,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 3,Minor repair,has_superstructure_cement_mortar_brick,-1,0
69216,202506031002,20,2005,200506,1,2,10,500,16,16,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,RC,TImber/Bamboo-Mud,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,0
69510,202506040331,20,2005,200506,1,2,3,364,12,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-12
69542,202506040572,20,2005,200506,1,2,4,608,12,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-12
69860,202506060761,20,2005,200506,4,7,10,650,40,40,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-3,0
71733,202509011091,20,2005,200504,1,2,0,850,10,10,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_stone,-1,0
71950,202509013151,20,2005,200504,1,2,6,900,10,10,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-1,0
72087,202509014541,20,2005,200504,1,2,10,625,10,10,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_stone,-1,0
73801,202513001381,20,2005,200510,2,5,10,281,12,12,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_timber,-3,0
78638,202901000481,20,2008,200802,3,6,26,672,23,23,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
78734,202902000051,20,2008,200801,2,5,8,338,19,19,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Reconstruction,has_superstructure_mud_mortar_stone,-3,0
79037,202904000281,20,2008,200801,1,2,1,155,10,20,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_non_engineered,-1,-10
81641,203009001091,20,2004,200407,2,5,15,950,14,14,Moderate slope,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_timber,-3,0
85831,203309001101,20,2007,200701,2,3,21,615,25,25,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
86738,203405001691,20,2006,200608,2,3,7,350,22,22,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Timber,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
87231,203408001661,20,2006,200608,1,2,0,720,11,22,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-11
87339,203409000451,20,2006,200605,2,5,14,450,22,22,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,Timber-Planck,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_timber,-3,0
87464,203501000351,20,2004,200405,1,2,12,600,9,18,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,L-shape,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_timber,-1,-9
90246,203802000691,20,2001,200103,1,2,7,247,12,12,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_timber,-1,0
92751,204004000101,20,2008,200805,2,3,21,300,21,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
92880,204004001381,20,2008,200805,2,3,20,400,21,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
92910,204004001681,20,2008,200805,3,5,40,350,21,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-2,0
94170,204104001091,20,2005,200514,1,7,6,375,7,7,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,RC,Not applicable,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_timber,-6,0
94943,204109000121,20,2005,200513,1,2,2,540,22,22,Flat,Bamboo/Timber,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,0
